recordation_number,site_name,la_county_id,owner,well_id,x_stateplane_nad27_ca_zone7_ft,y_stateplane_nad27_ca_zone7_ft,x_gflow_epsg2229_ft,y_gflow_epsg2229_ft,observed_head_2015_ft_msl,digitized_year,source_figure,source_pdf_page,location_match_note,digitizing_note
1900018,City of Alhambra Garfield Well,4069,"Alhambra, City of",GARFIELD,4247862.0,4149337.0,6521649.86,1859284.264,152.8,2014.83,Figure 5-11,118,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901014,City of Arcadia Longden 2,4198G,"Arcadia, City of",LONGDEN-2,4285729.0,4154226.0,6559533.251,1864048.4,172.1,2015.47,Figure 5-11,118,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000127,City of Arcadia Well Live Oak 1,,"Arcadia, City of",LIVE OAK-1,4282787.0,4151397.0,6556582.002,1861229.076,171.2,2015.48,Figure 5-11,119,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902537,City of Azusa Well Genesis 2,,"Azusa, City of (Azusa Light and Water)",GEN 2 (OLD 05),4312339.0,4158185.0,6586156.099,1867920.393,190.7,2015.27,Figure 5-11,119,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1903088,Calmat Well Reliance 1,,Conrock Company (also Ca. Portland Cement),01-REL,4306783.0,4161518.0,6580610.966,1871271.469,179.1,2015.31,Figure 5-11,120,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900355,CAWC Buena Vista,4227A,California American Water Co-Duarte System,BUENA VISTA,4295115.0,4159252.0,6568935.626,1869043.613,175.7,2015.24,Figure 5-11,120,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902713,SGVWC-El Monte Well 11C,,San Gabriel Valley Water Company,11C,4280919.0,4127706.0,6554636.565,1837544.265,169.9,2015.51,Figure 5-11,121,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1903018,CAWC-Duarte Crown Haven Well,,California American Water Co-Duarte System,CROWN HAVEN,4304140.0,4162632.0,6577971.606,1872394.078,179.6,2015.25,Figure 5-11,121,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900926,CAWC-San Marino Grand,2920G,California American Water Co-San Marino System,1948 GRAND,4263977.0,4146048.0,6537754.38,1855941.928,141.6,2015.48,Figure 5-11,122,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900920,CAWC-San Marino Well Mission View 2,,California American Water Co-San Marino System,1954 (MISSION VIEW),4268545.0,4149856.0,6542334.891,1859734.862,147.0,2015.48,Figure 5-11,122,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900354,CAWC Santa Fe Well,4246,California American Water Co-Duarte System,SANTE FE,4299926.0,4161041.0,6573752.443,1870816.864,182.5,2014.75,Figure 5-11,123,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900885,Covina Irrigating Company Well Bal 1,,Covina Irrigating Company,BALDWIN 1,4304463.0,4145113.0,6578237.589,1854874.173,178.4,2015.55,Figure 5-11,123,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901699,City of El Monte Well 10,,"El Monte, City of",10,4277622.0,4139397.0,6551377.74,1849246.104,167.1,2015.55,Figure 5-11,124,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901524,City of Glendora Well 04E,,"Glendora, City of",04E,4312293.0,4151359.0,6586087.929,1861094.574,187.4,2015.51,Figure 5-11,124,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
,LA County Well 3030F (Key Well),3030F,,,,,,,185.1,2014.75,Figure 5-11,125,no matching recordation_number in extracted well-location table,rightmost red observation symbol in 2014-2016 window
1902027,GSWC Persimmon 1,2960K,Southern California Water Company - San Gabriel,PERSIMMON 1,4277573.0,4146443.0,6551351.781,1856292.229,166.9,2015.53,Figure 5-11,125,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1940104,City of Monrovia Well 05,,"Monrovia, City of",5,4287688.0,4154212.0,6561492.208,1864027.98,174.9,2015.54,Figure 5-11,126,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902372,City of Monterey Park Well 7,,"Monterey Park, City of",MP7,4264877.0,4133954.0,6538614.758,1843845.018,146.4,2015.56,Figure 5-11,126,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000063,Calmat Well Durbin West,,Conrock Company (also CALMAT),W-DURBIN,4291136.0,4143419.0,6564904.995,1853223.772,185.6,2014.53,Figure 5-11,127,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901694,City of El Monte Well 4,2963B,"El Monte, City of",4,4277074.0,4136593.0,6550820.564,1846443.909,177.9,2015.31,Figure 5-11,127,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902790,Rincon Ditch Company Well 4,,Rose Hills Memorial Park Association,4,4273192.0,4119470.0,6546882.485,1829333.585,166.6,2015.48,Figure 5-11,128,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000123,SGCWD Well 12,,San Gabriel County Water District,12,4261511.0,4145461.0,6535286.433,1855363.052,134.1,2015.25,Figure 5-11,128,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902525,SGVWC Well B2,,San Gabriel Valley Water Company,B2,4276981.0,4124340.0,6550687.492,1834191.175,169.4,2015.5,Figure 5-11,129,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900718,SGVWC Well B5A,2994V,San Gabriel Valley Water Company,B5A,4287188.0,4132736.0,6560922.087,1842553.719,170.9,2015.28,Figure 5-11,129,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1903093,SGVWC Well B6C,,San Gabriel Valley Water Company,B6C,4297151.0,4137289.0,6570900.05,1847074.097,175.3,2015.5,Figure 5-11,130,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000187,SGVWC Well B25A,,BPOU Remedy,SA3-1S,4290703.0,4136310.0,6564448.794,1846116.205,195.6,2015.58,Figure 5-11,130,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1903067,SWS 140W-3,,Suburban Water Systems,140-W3,4298256.0,4133653.0,6571993.209,1843434.478,180.4,2015.49,Figure 5-11,131,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000087,SWS 125W-2,,Suburban Water Systems,125W2,4318707.0,4137104.0,6592455.614,1846818.72,230.3,2015.53,Figure 5-11,131,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900031,VCWD Well Paddy Ln,,Valley County Water District,PADDY LANE 5,4297147.0,4139872.0,6570904.47,1849657.107,176.9,2015.5,Figure 5-11,132,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900034,VCWD Well Arrow,4239F,Valley County Water District,8 (ARROW HWY),4304376.0,4151315.0,6578170.783,1861076.416,176.4,2015.53,Figure 5-11,132,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000071,City of Whittier Well 15,,"Whittier, City of",15,4271731.0,4123170.0,6545433.563,1833038.423,165.2,2015.46,Figure 5-11,133,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000136,City of Whittier Well 18,,"Whittier, City of",18,4271150.0,4122013.0,6544848.765,1831883.324,166.3,2015.47,Figure 5-11,133,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902148,GSWC-San Dimas Artesia 3,,Southern California Water Company-San Dimas,BAS-3,4350312.0,4157111.0,6624125.39,1866722.958,777.9,2015.27,Figure 5-11,134,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902150,GSWC-San Dimas Well Highway,,Southern California Water Company-San Dimas,HWY -INACTIVE,4350535.0,4157449.0,6624349.482,1867060.231,783.7,2015.27,Figure 5-11,134,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900029,VCWD Well Morada,,Valley County Water District,(MORADA) 3,4309825.0,4152020.0,6583622.08,1861763.62,188.2,2015.24,Figure 5-11,135,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000060,VCWD Lante Well,,Valley County Water District,SA1-3,4304321.0,4151229.0,6578115.503,1860990.597,182.5,2014.94,Figure 5-11,135,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902287,GSWC-San Dimas Well Malone,,Southern California Water Company-San Dimas,MALONE,4352831.0,4161319.0,6626657.969,1870922.778,1093.4,2015.27,Figure 5-11,136,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900736,SGVWC Well 8A,,San Gabriel Valley Water Company,8A,4266996.0,4134665.0,6540736.119,1844549.043,153.1,2014.37,Figure 5-11,136,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900881,Covina Irrigating Company Contract Well,4288A,Covina Irrigating Company,CONTRACT,4313398.0,4153091.0,6587198.561,1862822.955,230.3,2012.98,Figure 5-11,137,matched by recordation_number,no 2014-2016 red symbol found; used latest red observation symbol
1902854,City of Arcadia Well Peck 1,,"Arcadia, City of",PECK 1,4285339.0,4150630.0,6559131.505,1860453.716,172.8,2015.49,Figure 5-11,137,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1900035,VCWD Big Dalton,3042F,Suburban Water Systems,9 (BIG DALTON),4300513.0,4141268.0,6574275.044,1851042.096,177.0,2015.47,Figure 5-11,138,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902077,Arcadia Camino 1,4177A,"Arcadia, City of",CAMINO 1,4279782.0,4156931.0,6553595.081,1866772.866,202.9,2009.56,Figure 5-11,138,matched by recordation_number,no 2014-2016 red symbol found; used latest red observation symbol
1902792,Sunny Slope Water Company Well 09,,Sunny Slope Water Company,9,4263100.0,4155939.0,6536909.795,1865835.694,142.5,2015.46,Figure 5-11,139,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901441,CAWC-San Marino Well Blue Ribbon 1,,California American Water Co-San Marino System,BLUE RIBBON #1 (BR-1),4272226.0,4140701.0,6545985.949,1850567.828,174.6,2014.81,Figure 5-11,139,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1901599,SWS 139W-2,,Suburban Water Systems,139-W2,4303011.0,4139489.0,6576767.266,1849254.934,181.4,2015.56,Figure 5-11,140,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
8000190,SGVWC Well B26B,,BPOU Remedy,SA3-2D,4295347.0,4137132.0,6569095.522,1846923.0,160.8,2015.61,Figure 5-11,140,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
1902786,SGCWD Well 10,,San Gabriel County Water District,10,4260772.0,4148456.0,6534557.247,1858360.457,143.2,2014.81,Figure 5-11,141,matched by recordation_number; duplicate table rows present,rightmost red observation symbol in 2014-2016 window
1902148,SCWC-San Dimas Well Baseline 3,,Southern California Water Company-San Dimas,BAS-3,4350312.0,4157111.0,6624125.39,1866722.958,784.5,2015.28,Figure 5-11,141,matched by recordation_number,rightmost red observation symbol in 2014-2016 window
