recordation_number,location_recordation_number,well_id,appendix_name,owner,x_stateplane_nad27_ca_zone7_ft,y_stateplane_nad27_ca_zone7_ft,ground_surface_ft_msl,production_2014_15_afy,gflow_pumping_ft3_day_positive_extraction,modflow_well_ft3_day_negative_extraction,production_pdf_page,location_pdf_page
1900038,11900038,2,2,"AZ-Two, Inc. (also Transit Mix #2)",4310778,4155956,531,0,0.000,-0.000,336,216
1902106,1902106,AR1,1,Adams Ranch Mutual Water Company,4267956,4144420,322,0,0.000,-0.000,336,216
1902689,1902689,AR2,2,Adams Ranch Mutual Water Company,4267924,4144416,323,0,0.000,-0.000,336,216
8000182,8000182,AR3,3,Adams Ranch Mutual Water Company,4267822,4144504,324,56,6683.178,-6683.178,336,216
1900012,1900012,10,10,"Alhambra, City of",4252640,4144352,428,0,0.000,-0.000,336,216
1903014,1903014,11,11,"Alhambra, City of",4255506,4148075,419,321,38308.932,-38308.932,336,216
1900013,1900013,12,12,"Alhambra, City of",4251813,4146120,439,43,5131.726,-5131.726,336,216
1900014,1900014,13,13,"Alhambra, City of",4254895,4143101,381,181,21600.986,-21600.986,336,216
1900015,1900015,14,14,"Alhambra, City of",4254802,4144213,367,866,103350.575,-103350.575,336,216
1900016,1900016,15,15,"Alhambra, City of",4257924,4140082,329,1353,161470.356,-161470.356,336,216
1903097,1903097,7,7,"Alhambra, City of",4253606,4146278,418,389,46424.219,-46424.219,336,216
1900010,1900010,8 MOELLER,MOELR (8),"Alhambra, City of",4253566,4146878,403,1702,203120.877,-203120.877,336,216
1900011,1900011,9,9,"Alhambra, City of",4251122,4150023,491,10,1193.425,-1193.425,336,216
1900018,1900018,GARFIELD,GARF,"Alhambra, City of",4247862,4149337,535,0,0.000,-0.000,336,216
1900017,1900017,LONGDEN 2,2 LON,"Alhambra, City of",4258156,4153994,499,1285,153355.068,-153355.068,336,216
1902789,1902789,LONGDEN-1,1 LON,"Alhambra, City of",4258151,4154394,501,1142,136289.096,-136289.096,336,216
1900791,1900791,1,1,Amarillo Mutual Water Company,4263872,4138289,287,180,21481.644,-21481.644,336,216
1900792,1900792,2,2,Amarillo Mutual Water Company,4263922,4138221,286,164,19572.164,-19572.164,336,216
8000177,8000177,02-ST. JOSEPH,2 STJ,"Arcadia, City of",4275705,4153222,375,40,4773.699,-4773.699,336,216
1902358,1902358,1-ST. JOSEPH,1 STJ,"Arcadia, City of",4280315,4164668,499,0,0.000,-0.000,336,216
8000213,8000213,3CAM,3 CAM,"Arcadia, City of",4279639,4157129,402,2394,285705.863,-285705.863,336,216
8000214,8000214,3LONG,3 LGY,"Arcadia, City of",4275914,4153003,378,2560,305516.712,-305516.712,336,216
1902791,1902791,BALDWIN 2,2 BAL,"Arcadia, City of",4272474,4150846,380,0,0.000,-0.000,336,216
1902077,1902077,CAMINO 1,1 CAM,"Arcadia, City of",4279782,4156931,404,0,0.000,-0.000,336,216
1902078,1902078,CAMINO 2,2 CAM,"Arcadia, City of",4279850,4156998,405,0,0.000,-0.000,336,216
8000127,8000127,LIVE OAK-1,1 LO,"Arcadia, City of",4282787,4151397,340,2179,260047.233,-260047.233,336,216
1901013,1901013,LONGDEN-1,1 LON,"Arcadia, City of",4285910,4154192,361,894,106692.164,-106692.164,336,216
1901014,1901014,LONGDEN-2,2 LON,"Arcadia, City of",4285729,4154226,364,109,13008.329,-13008.329,336,216
1902854,1902854,PECK 1,1 PEC,"Arcadia, City of",4285339,4150630,336,3834,457559.014,-457559.014,336,216
1902457,1902457,02 (OLD 1 NORTH),2,Azusa Agricultural Water Co. (Azusa Light & Water),4314590,4164866,680,820,97860.822,-97860.822,336,216
1902458,1902458,04 (OLD 2 SOUTH),4,Azusa Agricultural Water Co. (Azusa Light & Water),4312351,4167709,695,2171,259092.493,-259092.493,336,216
8000178,80001782,WELL 11,11,Azusa Light and Water,4315055,4165187,689,1711,204194.959,-204194.959,336,216
8000179,8000179,WELL 12,12,Azusa Light and Water,4315190,4155110,516,1738,207417.205,-207417.205,336,216
1902117,1902117,6,9,Azusa Valley Water Company,4313377,4154193,507,0,0.000,-0.000,336,216
1902425,1902425,7,AVWC 7,Azusa Valley Water Company,4313499,4153926,502,0,0.000,-0.000,336,216
1902116,1902116,07 (OLD 05),7,Azusa Valley Water Company (Azusa Light and,4313315,4163730,645,296,35325.370,-35325.370,336,216
1902115,1902115,08 (OLD 04),8,Azusa Valley Water Company (Azusa Light and,4314103,4163724,648,36,4296.329,-4296.329,336,216
8000103,8000103,10 (OLD 08),10,Azusa Valley Water Company (Azusa Light and,4313309,4153819,506,16,1909.479,-1909.479,336,216
8000072,8000072,01 (OLD 07),1,"Azusa, City of (Azusa Light and Water)",4312125,4167896,680,1244,148462.027,-148462.027,336,216
8000086,8000086,03 (OLD 08),3,"Azusa, City of (Azusa Light and Water)",4312093,4167558,682,2418,288570.082,-288570.082,336,217
1902533,1902533,05 (OLD 01),5,"Azusa, City of (Azusa Light and Water)",4315055,4165187,669,949,113256.000,-113256.000,336,216
1902535,1902535,06 (OLD 03),6,"Azusa, City of (Azusa Light and Water)",4314058,4164672,714,390,46543.562,-46543.562,336,216
1902536,1902536,GEN 1 (OLD 04),GENESIS 1,"Azusa, City of (Azusa Light and Water)",4314891,4155618,525,0,0.000,-0.000,336,216
1902537,1902537,GEN 2 (OLD 05),GENESIS 2,"Azusa, City of (Azusa Light and Water)",4312339,4158185,560,0,0.000,-0.000,336,216
1902538,19025382,GEN 3 (OLD 06),GENESIS 3,"Azusa, City of (Azusa Light and Water)",4315190,4155110,520,0,0.000,-0.000,336,216
8000185,8000185,SA1-1,SA1-1,BPOU Remedy,4305874,4151293,468,2275,271504.110,-271504.110,348,217
8000186,8000186,SA1-2,SA1-2,BPOU Remedy,4305093,4150245,447,0,0.000,-0.000,348,217
8000188,80001883,SA3-1D,B25B,BPOU Remedy,4290703,4136310,303,3922,468061.151,-468061.151,345,217
8000187,8000187,SA3-1S,B25A,BPOU Remedy,4290703,4136310,303,3041,362920.438,-362920.438,345,217
8000190,80001903,SA3-2D,B26B,BPOU Remedy,4295347,4137132,327,1870,223170.411,-223170.411,345,217
8000189,8000189,SA3-2S,B26A,BPOU Remedy,4295347,4137132,327,812,96906.082,-96906.082,345,217
1901202,1901202,3,3,Base Line Water Company,4354483,4155406,1121,0,0.000,-0.000,337,217
8000004,8000004,ROSEHILL,,Beverly Acres Mutual Water Company,4272939,4118220,215,0,0.000,-0.000,337,217
8000216,8000216,B-V2,B V 2,California American Water Co,4294821,4159287,450,1821,217322.630,-217322.630,337,217
1900497,11900497,BACON,BACON,California American Water Co-Duarte System,4304969,4166191,632,14,1670.795,-1670.795,337,217
1900355,1900355,BUENA VISTA,B V,California American Water Co-Duarte System,4295115,4159252,450,0,0.000,-0.000,337,217
1903018,1903018,CROWN HAVEN,CR HV,California American Water Co-Duarte System,4304140,4162632,577,739,88194.082,-88194.082,337,217
8000139,8000139,ENCANTO PKWY,ENCTO,California American Water Co-Duarte System,4306580,4164692,608,288,34370.630,-34370.630,337,217
8000140,8000140,LAS LOMAS 2,LASL 2,California American Water Co-Duarte System,4303761,4164663,587,297,35444.712,-35444.712,337,217
1900357,1900357,LOS LOMAS,LAS L,California American Water Co-Duarte System,4303751,4164527,591,0,0.000,-0.000,337,217
1900356,1900356,MT. AVE,MT AVE,California American Water Co-Duarte System,4290820,4157896,417,0,0.000,-0.000,337,217
1900354,1900354,SANTE FE,STA FE,California American Water Co-Duarte System,4299926,4161041,513,526,62774.137,-62774.137,337,217
1900923,1900923,1907 (IVAR #1),IVR-1,California American Water Co-San Marino System,4264962,4138494,275,0,0.000,-0.000,338,217
1900935,1900935,1925 (LONGDEN),LONG,California American Water Co-San Marino System,4257221,4154017,508,490,58477.808,-58477.808,338,218
1900934,1900934,1947 (ROANOKE),ROAN,California American Water Co-San Marino System,4250049,4153015,505,0,0.000,-0.000,338,218
1900926,1900926,1948 GRAND,GRAND,California American Water Co-San Marino System,4263977,4146048,369,1408,168034.192,-168034.192,338,217
1900920,1900920,1954 (MISSION VIEW),MISVW,California American Water Co-San Marino System,4268545,4149856,385,1826,217919.342,-217919.342,337,217
1900927,1900927,1957 ROSEMEAD,ROSE,California American Water Co-San Marino System,4264354,4145863,368,0,0.000,-0.000,338,217
1902424,1902424,1958 (HOWLAND),HOWL,California American Water Co-San Marino System,4272079,4145156,316,512,61103.342,-61103.342,338,218
1902867,1902867,1963 (IVAR 2),IVR-2,California American Water Co-San Marino System,4264908,4138568,275,0,0.000,-0.000,338,218
1903059,1903059,1968(DEL MAR),DELMAR,California American Water Co-San Marino System,4258220,4156643,545,1407,167914.849,-167914.849,338,218
1901441,1901441,BLUE RIBBON #1 (BR-1),BR-1,California American Water Co-San Marino System,4272226,4140701,272,0,0.000,-0.000,338,218
1902787,1902787,BLUE RIBBON #2 (BR-2),BR-2,California American Water Co-San Marino System,4271377,4140352,267,0,0.000,-0.000,338,218
1900918,1900918,GUESS,GUESS,California American Water Co-San Marino System,4265977,4142943,330,0,0.000,-0.000,337,217
