gflow_label,x_epsg2229_ft,y_epsg2229_ft,n_source_wells,source_recordation_numbers,source_well_ids,owners,production_2014_15_afy,discharge_ft3_day
1901679,6521947.396,1862487.258,1,1901679,GRAVES_2,"South Pasadena, City of",244.000,29119.562
1900011,6524912.311,1859959.246,1,1900011,9,"Alhambra, City of",10.000,1193.425
1900013,6525590.499,1856054.012,1,1900013,12,"Alhambra, City of",43.000,5131.726
1900010,6527346.006,1856806.221,1,1900010,8_MOELLER,"Alhambra, City of",1702.000,203120.877
1903097,6527384.036,1856206.096,1,1903097,7,"Alhambra, City of",389.000,46424.219
1900015,6528573.270,1854137.171,1,1900015,14,"Alhambra, City of",866.000,103350.575
1900014,6528662.621,1853024.873,1,1900014,13,"Alhambra, City of",181.000,21600.986
1903086,6528874.716,1861583.175,1,1903086,WILSON_4,"South Pasadena, City of",909.000,108482.301
1901682,6528883.759,1861596.145,1,1901682,WILSON_3,"South Pasadena, City of",2556.000,305039.342
1903014,6529289.953,1857996.812,1,1903014,11,"Alhambra, City of",321.000,38308.932
1900935,6531024.465,1863933.082,1,1900935,1925_LONGDEN,California American Water Co-San Marino System,490.000,58477.808
8000133,6531165.691,1850895.612,1,8000133,14,San Gabriel County Water District,947.000,113017.315
1900016,6531681.752,1849995.906,1,1900016,15,"Alhambra, City of",1353.000,161470.356
1900547,6531845.858,1863439.378,1,1900547,SGCC1,San Gabriel Country Club,29.000,3460.932
1902789,6531955.706,1864307.013,1,1902789,LONGDEN-1,"Alhambra, City of",1142.000,136289.096
1900017,6531959.394,1863907.002,1,1900017,LONGDEN_2,"Alhambra, City of",1285.000,153355.068
1903059,6532032.085,1866555.749,1,1903059,1968_DEL_MAR,California American Water Co-San Marino System,1407.000,167914.849
1902979,6532048.997,1863480.709,1,1902979,SGCC2,San Gabriel Country Club,229.000,27329.425
8000146,6532791.673,1849049.243,1,8000146,SAXON_4,Southern California Water Company - San Gabriel,362.000,43201.973
1900514,6532803.090,1849176.206,1,1900514,SAXON_3,Southern California Water Company - San Gabriel,145.000,17304.658
1902785,6533471.647,1860623.030,1,1902785,9,San Gabriel County Water District,1526.000,182116.603
1900511,6534430.264,1844032.802,1,1900511,2SG,Southern California Water Company - San Gabriel,491.000,58597.151
1902818,6534526.105,1844593.491,1,1902818,MP10,"Monterey Park, City of",1444.000,172330.521
1900510,6534558.187,1844008.380,1,1900510,1SG,Southern California Water Company - San Gabriel,1521.000,181519.890
1900457,6534777.607,1843524.652,1,1900457,5,"Monterey Park, City of",1169.000,139511.342
8000067,6535134.645,1855733.552,1,8000067,11,San Gabriel County Water District,459.000,54778.192
1900453,6535257.356,1844664.083,1,1900453,1,"Monterey Park, City of",97.000,11576.219
8000123,6535286.433,1855363.052,1,8000123,12,San Gabriel County Water District,1283.000,153116.384
8000126,6535342.419,1844072.797,1,8000126,FERN,"Monterey Park, City of",271.000,32341.808
