"recordation_number","location_recordation_number","well_id","appendix_name","owner","x_stateplane_nad27_ca_zone7_ft","y_stateplane_nad27_ca_zone7_ft","ground_surface_ft_msl","production_2014_15_afy","gflow_pumping_ft3_day_positive_extraction","modflow_well_ft3_day_negative_extraction","production_pdf_page","location_pdf_page"
"8000182","8000182","AR3","3","Adams Ranch Mutual Water Company","4267822","4144504","324","56","6683.178","-6683.178","336","216"
"1903014","1903014","11","11","Alhambra, City of","4255506","4148075","419","321","38308.932","-38308.932","336","216"
"1900013","1900013","12","12","Alhambra, City of","4251813","4146120","439","43","5131.726","-5131.726","336","216"
"1900014","1900014","13","13","Alhambra, City of","4254895","4143101","381","181","21600.986","-21600.986","336","216"
"1900015","1900015","14","14","Alhambra, City of","4254802","4144213","367","866","103350.575","-103350.575","336","216"
"1900016","1900016","15","15","Alhambra, City of","4257924","4140082","329","1353","161470.356","-161470.356","336","216"
"1903097","1903097","7","7","Alhambra, City of","4253606","4146278","418","389","46424.219","-46424.219","336","216"
"1900010","1900010","8 MOELLER","MOELR (8)","Alhambra, City of","4253566","4146878","403","1702","203120.877","-203120.877","336","216"
"1900011","1900011","9","9","Alhambra, City of","4251122","4150023","491","10","1193.425","-1193.425","336","216"
"1900017","1900017","LONGDEN 2","2 LON","Alhambra, City of","4258156","4153994","499","1285","153355.068","-153355.068","336","216"
"1902789","1902789","LONGDEN-1","1 LON","Alhambra, City of","4258151","4154394","501","1142","136289.096","-136289.096","336","216"
"1900791","1900791","1","1","Amarillo Mutual Water Company","4263872","4138289","287","180","21481.644","-21481.644","336","216"
"1900792","1900792","2","2","Amarillo Mutual Water Company","4263922","4138221","286","164","19572.164","-19572.164","336","216"
"8000177","8000177","02-ST. JOSEPH","2 STJ","Arcadia, City of","4275705","4153222","375","40","4773.699","-4773.699","336","216"
"8000213","8000213","3CAM","3 CAM","Arcadia, City of","4279639","4157129","402","2394","285705.863","-285705.863","336","216"
"8000214","8000214","3LONG","3 LGY","Arcadia, City of","4275914","4153003","378","2560","305516.712","-305516.712","336","216"
