recordation_number,x_gflow_epsg2229_ft,y_gflow_epsg2229_ft,observed_head_2015_ft_msl
VWC-Well-3,6505538.379302057,1895199.547650714,975
pas-arroyo,6511183.81685909,1894396.0657414445,950
pas-52,6510983.593788048,1893845.3201463874,940
pasVentura,6510627.973897155,1893074.3888563695,950
pasSheldon,6511149.709799264,1887209.2578101258,940
pasCopelin,6513887.598530136,1881670.2155805656,675
pasGarfiel,6518336.817097923,1879039.1901264938,675
KID-3,6532390.286419617,1885858.2845033717,725
kidWilcox,6534670.134444667,1883937.8179373506,400
epasWell8,6539813.497951063,1874086.4900954647,410
Anoakia,6545183.514874016,1877518.338282152,370
smWell5,6549395.152311893,1881982.156241436,390
arcOG5A,6551067.051531206,1879919.5838261133,375
stJoseph2,6554533.079651548,1874393.652046941,190
lfwcWell5,6513224.143838257,1892811.102580029,925
pasCasitas,6511104.913932928,1890235.2961474413,945
lfwcWell2,6515191.803505879,1890636.5887906759,910
sswcWell9,6537048.515134802,1866527.4477879817,130
Longdon_1,6532147.6801648345,1864115.861240268,125
